seq,type,uptime_ms,t_us,slot_id,sync,frame_ctr,rssi,snr,tx_done,rx_done,rx_crc_err,rx_bad_header,slot_timeouts,stale_retx,busy_timeouts,rx_ok,missed,dup,payload
0,meta,1926093,0,1,STOPPED,,,,,,,,,,,,,,
1,tx,1926093,0,1,SYNCING,,,,,,,,,,,,,,
2,stats,1926093,0,0,SYNCING,,0,0,0,0,0,0,0,0,0,0,0,0,
3,tx,1926433,0,1,SYNCING,,,,,,,,,,,,,,
4,tx,1926453,0,1,SYNCING,,,,,,,,,,,,,,
5,tx,1926494,0,1,SYNCING,,,,,,,,,,,,,,
6,tx,1926554,0,1,SYNCING,,,,,,,,,,,,,,
7,tx,1926694,0,1,SYNCING,,,,,,,,,,,,,,
8,tx,1926754,0,1,SYNCING,,,,,,,,,,,,,,
9,tx,1926794,0,1,SYNCING,,,,,,,,,,,,,,
10,tx,1926946,0,1,SYNCING,,,,,,,,,,,,,,
11,tx,1927006,0,1,SYNCING,,,,,,,,,,,,,,
12,tx,1927047,0,1,SYNCING,,,,,,,,,,,,,,
13,tx,1927198,0,1,SYNCING,,,,,,,,,,,,,,
14,stats,1927198,0,0,SYNCING,,0,0,0,0,0,0,0,0,0,0,0,0,
15,tx,1927259,0,1,SYNCING,,,,,,,,,,,,,,
16,tx,1927299,0,1,SYNCING,,,,,,,,,,,,,,
17,tx,1927451,0,1,SYNCING,,,,,,,,,,,,,,
18,tx,1927511,0,1,SYNCING,,,,,,,,,,,,,,
19,tx,1927552,0,1,SYNCING,,,,,,,,,,,,,,
20,tx,1927703,0,1,SYNCING,,,,,,,,,,,,,,
21,tx,1927743,0,1,SYNCING,,,,,,,,,,,,,,
22,tx,1927804,0,1,SYNCING,,,,,,,,,,,,,,
23,tx,1927956,0,1,SYNCING,,,,,,,,,,,,,,
24,tx,1927996,0,1,SYNCING,,,,,,,,,,,,,,
25,tx,1928056,0,1,SYNCING,,,,,,,,,,,,,,
26,tx,1928208,0,1,SYNCING,,,,,,,,,,,,,,
27,stats,1928208,0,0,SYNCING,,0,0,0,0,0,0,0,0,0,0,0,0,
28,tx,1928248,0,1,SYNCING,,,,,,,,,,,,,,
29,tx,1928308,0,1,SYNCING,,,,,,,,,,,,,,
30,rx,1928460,2358271,0,SYNCING,2,-63,8,,,,,,,,,,,
31,tx,1928460,0,1,SYNCING,,,,,,,,,,,,,,
32,tx,1928581,0,1,SYNCING,,,,,,,,,,,,,,
33,rx,1928715,2558155,0,SYNCING,3,-64,8,,,,,,,,,,,
34,tx,1928715,0,1,SYNCING,,,,,,,,,,,,,,
35,tx,1928735,0,1,SYNCING,,,,,,,,,,,,,,
36,tx,1928775,0,1,SYNCING,,,,,,,,,,,,,,
37,rx,1928835,2758146,0,SYNCING,4,-63,8,,,,,,,,,,,
38,tx,1928836,0,1,SYNCING,,,,,,,,,,,,,,
39,tx,1928969,0,1,SYNCING,,,,,,,,,,,,,,
40,tx,1928989,0,1,SYNCING,,,,,,,,,,,,,,
41,tx,1929029,0,1,SYNCING,,,,,,,,,,,,,,
